BEST MATCH CPE MATCH , PRODUCT NAME WEIGHT , VERSION WEIGHT, LEAF DISTANCE , SUB LEAF DISTANCE,NMAP MATCH,BANNER, BANNER HASH,CPE HASH,SIM
cpe:/a:openbsd:openssh:2.9.9,95.9998917462,1000,9999999,9999999,cpe:/a:openbsd:openssh:2.3.0/cpe:/a:openbsd:openssh:2.3.0_mikrotik_v2.9/," ssh-1.99-openssh_2.3.0_mikrotik_v2.9
\x00\x00\x02$	\x14\xec\xd5\x95h\xb1\xfbok\x1d\xc3\xb2a\x892\xd1\xa0\x00\x00\x00=diffie-hellman-group-exchange-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x07ssh-dss\x00\x00\x00\x963des-cbc,blowfish-cbc,cast128-cbc,arcfour,aes128-cbc,aes192-cbc,aes256-cbc,rijndael128-cbc,rijndael192-cbc,rijndael256-cbc,rijndael-cbc@lysator.liu.se\x00\x00\x00\x963des-cbc,blowfish-cbc,cast128-cbc,arcfour,aes128-cbc,aes192-cbc,aes256-cbc,rijndael128-cbc,rijndael192-cbc,rijndael256-cbc,rijndael-cbc@lysator.liu.se\x00\x00\x00-hmac-sha1,hmac-md5,hmac-ripemd160@openssh.com\x00\x00\x00-hmac-sha1,hmac-md5,hmac-ripemd160@openssh.com\x00\x00\x00	none,zlib\x00\x00\x00	none,zlib\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:cU:cU,3:aKDek:aKd,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.52,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.52/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.52
\x00\x00\x01\x94\x06\x14jd\x9b\xf9\xcb\xe7i\xfce\xd2\x87\x8a\xe0\xf5c'\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x07ssh-rsa\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00)\x11
6\x97\xb4",3:9:9,3:cH9Wo8X1Lxk:cdWxFC,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.50,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.50/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.50
\x00\x00\x00\xbc\x06\x14e\xdd]\xeay`zu\xe6r1r\xbe\x1dw\xf7\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x07ssh-rsa\x00\x00\x00\x083des-cbc\x00\x00\x00\x083des-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00r\xea\xe5/+{",3:9:9,3:cH9Wo8XRk:cdWxG,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.46,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.46/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.46
\x00\x00\x00\xa4\x08\x14\x94\x7f_\xfa\xb9&#38;|q`7ij\xc3\xa8em\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x07ssh-rsa\x00\x00\x00\x083des-cbc\x00\x00\x00\x083des-cbc\x00\x00\x00\x12hmac-sha1,hmac-md5\x00\x00\x00\x12hmac-sha1,hmac-md5\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb8j%\xb9\xa5\xec\x0e\xe8",3:9:9,3:cH9Wo8XbQLk:cdWx1,0
cpe:/a:openbsd:openssh:4.2,95.9998917462,1000,9999999,9999999,cpe:/a:openbsd:openssh:4.2/," ssh-1.99-openssh_4.2
\x00\x00\x02\xbc\x07\x14\xa2bq\xe5\xf9\x90a\xd0\xf3\x18\xb5\xcaw\x18g\x04\x00\x00\x00ydiffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:cU:cU,3:aKKdk:aKv,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.51,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.51/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.51
\x00\x00\x01\\x04\x14*\xa9g-\x1a2\x92\xf4\x8d\f\x829'\xd4\x1e\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00uaes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00uaes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa9]df",3:9:9,3:cH9Wo8X3MLk:cdWxF,0
,0,0,9999999,9999999,cpe:/o:huawei:vrp/," ssh-1.99-vrp-3.3
\x00\x00\x01\x1c\x05\x14p\xc3\x12\x90s\xb2\xe8p\xdd\x16)\xfdy\xd7*\xb5\x00\x00\x00=diffie-hellman-group1-sha1,diffie-hellman-group-exchange-sha1\x00\x00\x00\x07ssh-rsa\x00\x00\x00\x1baes128-cbc,3des-cbc,des-cbc\x00\x00\x00\x1baes128-cbc,3des-cbc,des-cbc\x00\x00\x00+hmac-sha1,hmac-sha1-96,hmac-md5,hmac-md5-96\x00\x00\x00+hmac-sha1,hmac-sha1-96,hmac-md5,hmac-md5-96\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:cU:cU,undefined,undefined
cpe:/a:openbsd:openssh:5.3:p1,95.9998917462,1000,9999999,3,cpe:/a:openbsd:openssh:5.3p1/%20cpe:/o:canonical:ubuntu_linux/%20cpe:/o:linux:linux_kernel/cpe:/a:openbsd:openssh:5.3p1/%20cpe:/o:debian:debian_linux/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-openssh_5.3p1 debian-3ubuntu7
\x00\x00\x03\x0c
\x14\xf96\x05\x00\xecm\xb4+\x19\xbd\xcao\xc2\x19\xf4\xd6\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aKJ+:aKw,0
cpe:/a:openbsd:openssh:5.3:p1,95.9998917462,1000,9999999,3,cpe:/a:openbsd:openssh:5.3p1/%20cpe:/o:canonical:ubuntu_linux/%20cpe:/o:linux:linux_kernel/cpe:/a:openbsd:openssh:5.3p1/%20cpe:/o:debian:debian_linux/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-openssh_5.3p1 debian-3ubuntu7
\x00\x00\x03\x0c
\x14	q\x02\xac\xe9\xc1\x7ff~\x95\xc9\xa58\xa5_\xfe\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aKJ+:aKw,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.52,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.52/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.52
\x00\x00\x01\xcc
\x14 \xf4\xbfd\x0fy\x01|t\x9e\xa7^h\x99\xa5\xa9\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00h\xad\xcf\xb3?<\xbd\xf1\xd1t",3:9:9,3:cH9Wo8X1Lxk:cdWxFC,0
cpe:/a:openbsd:openssh:3.9,95.9998917462,1000,9999999,9999999,cpe:/a:openbsd:openssh:3.9p1/," ssh-2.0-openssh_3.9p1
\x00\x00\x02l\x05\x14\xd9\xb27\x19\xc6<r;_\xdb\xf1g q9r\x00\x00\x00ydiffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x87aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x87aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aK4xk:aK4W,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.52,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.52/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.52
\x00\x00\x01\xcc
\x14\xae\xec\xc7\xc4#\xcf\xa1\xae\x99r\xceu\xfe\xadxg\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02\xfc\x9a\xae!\xee1\xae\xd2\x07",3:9:9,3:cH9Wo8X1Lxk:cdWxFC,0
cpe:/a:openbsd:openssh:4.2,95.9998917462,1000,9999999,9999999,cpe:/a:openbsd:openssh:4.2/," ssh-2.0-openssh_4.2
\x00\x00\x02\xbc\x07\x14\x8d85\x81\x87\xb5\xe8i\x17\xd9\x8f""\x01\xc8\x92e\x00\x00\x00ydiffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00uhmac-md5,hmac-sha1,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:N:N,3:aKKdk:aKv,0
cpe:/a:openbsd:openssh:5.1:p1,95.9998917462,1000,9999999,3,cpe:/a:openbsd:openssh:5.1p1/%20cpe:/o:freebsd:freebsd/a," ssh-2.0-openssh_5.1p1 freebsd-20080901
\x00\x00\x02l\x06\x14\x16\xc6\xf6\xbd\xb02\xf4g\\xb2\x1a\xe4\x90\x17f$\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x07ssh-dss\x00\x00\x00>aes128-ctr,aes256-ctr,arcfour256,arcfour,aes128-cbc,aes256-cbc\x00\x00\x00>aes128-ctr,aes256-ctr,arcfour256,arcfour,aes128-cbc,aes256-cbc\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x1anone,zlib@openssh.com,zlib\x00\x00\x00\x1anone,zlib@openssh.com,zlib\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aKL+:aKC,0
cpe:/a:openbsd:openssh:3.6,95.9998917462,1000,9999999,9999999,cpe:/a:openbsd:openssh:3.6p1/," ssh-2.0-openssh_3.6p1
\x00\x00\x00\x9c
\x14gym\x11\xe7\xf9/\xdd\x053\xf7\xa0\xf2%\x95\x87\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x083des-cbc\x00\x00\x00\x083des-cbc\x00\x00\x00	hmac-sha1\x00\x00\x00	hmac-sha1\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\xee\xe5m\xb0]k\x95\xc9{",3:9:9,3:aKxAQLk:aKxM,0
cpe:/a:apache:http_server:1.99,76.5769246422,1000,9999999,9999999,," ssh-1.99-server-vii-hpn13v1
\x00\x00\x03\x0c\x08\x14\x03\x0e \xa6\x88\xb57\x94 #\xf5\xff\xd7\xf6\xe5!\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x07ssh-dss\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x1anone,zlib@openssh.com,zlib\x00\x00\x00\x1anone,zlib@openssh.com,zlib\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:cU:cU,3:NQWNScDmKk:aMDM,0
cpe:/a:lincoln_d._stein:crypt_cbc:1.25,76.5883662459,1000,9999999,9999999,," ssh-1.99-cisco-1.25
\x00\x00\x01\x14\x04\x14\xc5\x1at\xda\xca0]\x86`f\x7f.5\x19\xa0\xd6\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x07ssh-rsa\x00\x00\x00)aes128-cbc,3des-cbc,aes192-cbc,aes256-cbc\x00\x00\x00)aes128-cbc,3des-cbc,aes192-cbc,aes256-cbc\x00\x00\x00+hmac-sha1,hmac-sha1-96,hmac-md5,hmac-md5-96\x00\x00\x00+hmac-sha1,hmac-sha1-96,hmac-md5,hmac-md5-96\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:cU:cU,3:bXXxxk:Q,0
cpe:/a:matt_johnston:dropbear_ssh_server:0.52,91.3008996955,1000,9999999,9999999,cpe:/a:matt_johnston:dropbear_ssh_server:0.52/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-dropbear_0.52
\x00\x00\x01\xcc
\x14\xb2\xf7y\x89(\x93%\xe5\x9b\x81\x99\xf2c\x06>_\x00\x00\x00\x1adiffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00taes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1fhmac-sha1-96,hmac-sha1,hmac-md5\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x1azlib,zlib@openssh.com,none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf3\x043\xc9\x08\xb4\x84\x0fuw",3:9:9,3:cH9Wo8X1Lxk:cdWxFC,0
cpe:/a:pico_server:pico_server:3.1,86.2724465445,1000,9999999,9999999,cpe:/o:huawei:vrp/," ssh-1.5-huawei-vrp3.1
\x00\x00\x00u\x00\x00\x00\x01\x00\x00\x00lthe connection is closed by ssh server
current fsm is ssh_main_versionmatch\xa3\xbcd\xc3",3:QQ:QQ,3:M6WNMJ17Lk:7WB,0
,0,0,9999999,9999999,cpe:/o:linux:linux_kernel/a%20cpe:/o:mikrotik:routeros/," ssh-2.0-rosssh
",3:9:9,undefined,undefined
cpe:/a:openbsd:openssh:5.1:p1,95.9998917462,1000,9999999,194,cpe:/a:openbsd:openssh:5.1/," ssh-2.0-openssh_5.1
\x00\x00\x03\x0c
\x14\x80\xf8\xe1\x1d\xc0\xae\xe2\xd8\x89\x06\x1f\x11\x19\x96\xf8\x0b\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aKL+:aKC,0
cpe:/a:gnu:zlib:1.2.0,95.9998933864,1000,9999999,9999999,cpe:/a:openbsd:openssh:4.7p1/%20cpe:/o:debian:debian_linux/%20cpe:/o:linux:linux_kernel/a," ssh-2.0-openssh_4.7p1 debian-8ubuntu1.2
\x00\x00\x03\x0c
\x14h,\xbe\xd5>\xe2\xeahvii\x9a#""\x9e\xec\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00\x9daes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour128,arcfour256,arcfour,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:N:N,3:MSlDKk:MIl,0
cpe:/a:openbsd:openssh:5.3:p1,95.9998917462,1000,9999999,179,cpe:/a:openbsd:openssh:5.3/," ssh-2.0-openssh_5.3
\x00\x00\x03\x0c
\x14\xbe\x9c\xfbi\xf0\xcc\xc2\x07\xf0\xc6yg\x8e+\x99i\x00\x00\x00~diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0fssh-rsa,ssh-dss\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00\x9daes128-ctr,aes192-ctr,aes256-ctr,arcfour256,arcfour128,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,aes192-cbc,aes256-cbc,arcfour,rijndael-cbc@lysator.liu.se\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00ihmac-md5,hmac-sha1,umac-64@openssh.com,hmac-ripemd160,hmac-ripemd160@openssh.com,hmac-sha1-96,hmac-md5-96\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x15none,zlib@openssh.com\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",3:9:9,3:aKJ+:aKw,0
